D,R,R,R,R,R,R,R,R,R,R,D,R,R,R,R,R,D,D,R,R,D,D,R,D,R,R,R,D,R,R,R
1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1
R,R,D,D,D,D,D,R,D,R,R,R,D,D,D,R,R,R,D,D,D,R,R,D,R,D,R,D,D,R,R,D
1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1
